Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment Terms Name,Next Payment Due At
#1027,listerine1989@gmail.com,pending,,unfulfilled,,no,COP,65000.00,0.00,9750.00,74750.00,"",0.00,"",2021-11-17 11:40:55 -0500,1,Camiseta basica blanca - M,15000.00,,CAM-001,true,true,pending,jhon  doe,"Cra26A #25-56, Casa",Cra26A #25-56,Casa,,Corozal,705030,SUC,CO,,jhon  doe,"Cra26A #25-56, Casa",Cra26A #25-56,Casa,,Corozal,705030,SUC,CO,,prueba,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4289013350568,"",Low,shopify_draft_order,0.00,VAT 15 %,9750.00,,,,,,,,,,,,Sucre,Sucre,Due on receipt,
#1027,listerine1989@gmail.com,,,,,,,,,,,,,,2021-11-17 11:40:55 -0500,2,Camiseta roja para hombre - m,25000.00,"",CAM-rojo,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,rocketfyStore,,,,,0.00,,,,,,,,,,,,,,,,,
#1026,listerine1989@gmail.com,pending,,fulfilled,2021-11-17 11:39:40 -0500,no,COP,40000.00,0.00,6000.00,46000.00,"",0.00,"",2021-11-17 11:30:58 -0500,1,Camiseta basica blanca - M,15000.00,,CAM-001,true,true,fulfilled,jhon  doe,"Cra26A #25-56, Casa",Cra26A #25-56,Casa,,Corozal,705030,SUC,CO,,jhon  doe,"Cra26A #25-56, Casa",Cra26A #25-56,Casa,,Corozal,705030,SUC,CO,,prueba,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4289003552936,"",Low,shopify_draft_order,0.00,VAT 15 %,6000.00,,,,,,,,,,,,Sucre,Sucre,Due on receipt,
#1026,listerine1989@gmail.com,,,,,,,,,,,,,,2021-11-17 11:30:58 -0500,1,Camiseta roja para hombre - m,25000.00,"",CAM-rojo,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,rocketfyStore,,,,,0.00,,,,,,,,,,,,,,,,,
#1025,,pending,,fulfilled,2021-11-17 11:29:52 -0500,no,COP,80000.00,0.00,12000.00,92000.00,"",0.00,"",2021-11-17 08:48:23 -0500,2,Camiseta basica blanca - M,15000.00,,CAM-001,true,true,fulfilled,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,nota de prueba,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4288837517480,"",Low,shopify_draft_order,0.00,VAT 15 %,12000.00,,,,,,,,,+573002461089,,,Sucre,Sucre,Due on receipt,
#1025,,,,,,,,,,,,,,,2021-11-17 08:48:23 -0500,2,Camiseta roja para hombre - s,25000.00,"",CAM-rojo-2,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,rocketfyStore,,,,,0.00,,,,,,,,,,,+573002461089,,,,,,
#1024,,pending,,fulfilled,2021-11-17 09:01:57 -0500,no,COP,25000.00,0.00,3750.00,28750.00,"",0.00,"",2021-11-16 13:00:50 -0500,1,Camiseta roja para hombre - m,25000.00,,CAM-rojo,true,true,fulfilled,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4287926436008,"",Low,shopify_draft_order,0.00,VAT 15 %,3750.00,,,,,,,,,+573002461089,,,Sucre,Sucre,Due on receipt,
#1023,listerine1989@gmail.com,pending,,fulfilled,2021-11-17 09:01:57 -0500,no,COP,15000.00,0.00,2250.00,17250.00,"",0.00,"",2021-11-16 11:31:49 -0500,1,Camiseta basica blanca - M,15000.00,,CAM-001,true,true,fulfilled,jhon  doe,"Cra26A #25-56, Casa",Cra26A #25-56,Casa,,Corozal,705030,SUC,CO,,jhon  doe,"Cra26A #25-56, Casa",Cra26A #25-56,Casa,,Corozal,705030,SUC,CO,,,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4287850610856,"",Low,shopify_draft_order,0.00,VAT 15 %,2250.00,,,,,,,,,,,,Sucre,Sucre,Due on receipt,
#1022,listerine1989@gmail.com,pending,,fulfilled,2021-11-17 09:01:56 -0500,no,COP,40000.00,0.00,6000.00,46000.00,"",0.00,"",2021-11-09 15:55:47 -0500,1,Camiseta basica blanca - XS,15000.00,,CAM-003,true,true,fulfilled,jhon  doe,"Cra26A #25-56, Casa",Cra26A #25-56,Casa,,Corozal,705030,SUC,CO,,jhon  doe,"Cra26A #25-56, Casa",Cra26A #25-56,Casa,,Corozal,705030,SUC,CO,,,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4279168827560,"",Low,shopify_draft_order,0.00,VAT 15 %,6000.00,,,,,,,,,,,,Sucre,Sucre,Due on receipt,
#1022,listerine1989@gmail.com,,,,,,,,,,,,,,2021-11-09 15:55:47 -0500,1,Camiseta roja para hombre - m,25000.00,"",CAM-rojo,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,rocketfyStore,,,,,0.00,,,,,,,,,,,,,,,,,
#1020,,pending,,fulfilled,2021-11-09 15:53:36 -0500,no,COP,15000.00,0.00,2250.00,17250.00,"",0.00,"",2021-11-09 12:15:37 -0500,1,Camiseta basica blanca - M,15000.00,,CAM-001,true,true,fulfilled,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4278947152040,"",Low,shopify_draft_order,0.00,VAT 15 %,2250.00,,,,,,,,,+573002461089,,,Sucre,Sucre,Due on receipt,
#1019,,pending,,fulfilled,2021-11-09 15:53:36 -0500,no,COP,15000.00,0.00,2250.00,17250.00,"",0.00,"",2021-11-09 10:13:05 -0500,1,Camiseta basica blanca - S,15000.00,,CAM-002,true,true,fulfilled,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4278828105896,"",Low,shopify_draft_order,0.00,VAT 15 %,2250.00,,,,,,,,,+573002461089,,,Sucre,Sucre,Due on receipt,
#1018,,pending,,fulfilled,2021-11-09 15:53:35 -0500,no,COP,15000.00,0.00,2250.00,17250.00,"",0.00,"",2021-11-09 10:03:21 -0500,1,Camiseta basica blanca - M,15000.00,,CAM-001,true,true,fulfilled,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,adsadasdsad,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4278818734248,"",Low,shopify_draft_order,0.00,VAT 15 %,2250.00,,,,,,,,,+573002461089,,,Sucre,Sucre,Due on receipt,
#1017,,pending,,fulfilled,2021-11-09 15:53:35 -0500,no,COP,25000.00,0.00,3750.00,28750.00,"",0.00,"",2021-11-09 09:53:22 -0500,1,Camiseta roja para hombre - s,25000.00,,CAM-rojo-2,true,true,fulfilled,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4278809788584,"",Low,shopify_draft_order,0.00,VAT 15 %,3750.00,,,,,,,,,+573002461089,,,Sucre,Sucre,Due on receipt,
#1016,,pending,,fulfilled,2021-11-09 15:53:34 -0500,no,COP,15000.00,0.00,2250.00,17250.00,"",0.00,"",2021-11-09 09:41:29 -0500,1,Camiseta basica blanca - XS,15000.00,,CAM-003,true,true,fulfilled,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4278798713000,"",Low,shopify_draft_order,0.00,VAT 15 %,2250.00,,,,,,,,,+573002461089,,,Sucre,Sucre,Due on receipt,
#1015,,pending,,fulfilled,2021-11-09 15:53:34 -0500,no,COP,15000.00,0.00,2250.00,17250.00,"",0.00,"",2021-11-09 09:34:22 -0500,1,Camiseta basica blanca - S,15000.00,,CAM-002,true,true,fulfilled,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4278791766184,"",Low,shopify_draft_order,0.00,VAT 15 %,2250.00,,,,,,,,,+573002461089,,,Sucre,Sucre,Due on receipt,
#1014,,pending,,fulfilled,2021-11-09 15:53:33 -0500,no,COP,15000.00,0.00,2250.00,17250.00,"",0.00,"",2021-11-09 09:21:45 -0500,1,Camiseta basica blanca - M,15000.00,,CAM-001,true,true,fulfilled,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4278779216040,"",Low,shopify_draft_order,0.00,VAT 15 %,2250.00,,,,,,,,,+573002461089,,,Sucre,Sucre,Due on receipt,
#1013,listerine1989@gmail.com,pending,,fulfilled,2021-11-09 15:53:33 -0500,no,COP,25000.00,0.00,3750.00,28750.00,"",0.00,"",2021-11-09 09:14:24 -0500,1,Camiseta roja para hombre - xs,25000.00,,CAM-rojo-3,true,true,fulfilled,jhon  doe,"Cra26A #25-56, Casa",Cra26A #25-56,Casa,,Corozal,705030,SUC,CO,,jhon  doe,"Cra26A #25-56, Casa",Cra26A #25-56,Casa,,Corozal,705030,SUC,CO,,,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4278771941544,"",Low,shopify_draft_order,0.00,VAT 15 %,3750.00,,,,,,,,,,,,Sucre,Sucre,Due on receipt,
#1012,,pending,,fulfilled,2021-11-09 15:53:32 -0500,no,COP,25000.00,0.00,3750.00,28750.00,"",0.00,"",2021-11-09 09:06:44 -0500,1,Camiseta roja para hombre - s,25000.00,,CAM-rojo-2,true,true,fulfilled,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4278764535976,"",Low,shopify_draft_order,0.00,VAT 15 %,3750.00,,,,,,,,,+573002461089,,,Sucre,Sucre,Due on receipt,
#1011,listerine1989@gmail.com,pending,,fulfilled,2021-11-09 15:53:32 -0500,no,COP,15000.00,0.00,2250.00,17250.00,"",0.00,"",2021-11-09 08:52:58 -0500,1,Camiseta basica blanca - S,15000.00,,CAM-002,true,true,fulfilled,jhon  doe,"Cra26A #25-56, Casa",Cra26A #25-56,Casa,,Corozal,705030,SUC,CO,,jhon  doe,"Cra26A #25-56, Casa",Cra26A #25-56,Casa,,Corozal,705030,SUC,CO,,,"",,manual,"",0.00,rocketfyStore,4278751297704,"",Low,shopify_draft_order,0.00,VAT 15 %,2250.00,,,,,,,,,,,,Sucre,Sucre,Due on receipt,
#1010,listerine1989@gmail.com,pending,,fulfilled,2021-11-09 15:53:31 -0500,no,COP,25000.00,0.00,3750.00,28750.00,"",0.00,"",2021-11-09 08:41:31 -0500,1,Camiseta roja para hombre - xl,25000.00,,CAM-rojo-4,true,true,fulfilled,jhon  doe,"Cra26A #25-56, Casa",Cra26A #25-56,Casa,,Corozal,705030,SUC,CO,,jhon  doe,"Cra26A #25-56, Casa",Cra26A #25-56,Casa,,Corozal,705030,SUC,CO,,,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4278741467304,"",Low,shopify_draft_order,0.00,VAT 15 %,3750.00,,,,,,,,,,,,Sucre,Sucre,Due on receipt,
#1009,,pending,,fulfilled,2021-11-09 15:53:31 -0500,no,COP,75000.00,0.00,11250.00,86250.00,"",0.00,"",2021-11-08 18:05:18 -0500,3,Camiseta roja para hombre - xs,25000.00,,CAM-rojo-3,true,true,fulfilled,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4278154592424,"",Low,shopify_draft_order,0.00,VAT 15 %,11250.00,,,,,,,,,+573002461089,,,Sucre,Sucre,Due on receipt,
#1008,,pending,,fulfilled,2021-11-09 15:53:31 -0500,no,COP,40000.00,0.00,6000.00,46000.00,"",0.00,"",2021-10-29 13:34:57 -0500,1,Camiseta basica blanca - M,15000.00,,CAM-001,true,true,fulfilled,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,"",Morroa,705030,SUC,CO,"",,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4265276506280,"",Low,shopify_draft_order,0.00,VAT 15 %,6000.00,,,,,,,,,+573002461089,,,Sucre,Sucre,Due on receipt,
#1008,,,,,,,,,,,,,,,2021-10-29 13:34:57 -0500,1,Camiseta roja para hombre - xs,25000.00,"",CAM-rojo-3,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,rocketfyStore,,,,,0.00,,,,,,,,,,,+573002461089,,,,,,
#1007,,pending,,fulfilled,2021-11-09 15:53:30 -0500,no,COP,15000.00,0.00,2250.00,17250.00,"",0.00,"",2021-10-28 18:49:03 -0500,1,Camiseta basica blanca - XS,15000.00,,CAM-003,true,true,fulfilled,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,"",Morroa,705030,SUC,CO,"",,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4264140144808,"",Low,shopify_draft_order,0.00,VAT 15 %,2250.00,,,,,,,,,+573002461089,,,Sucre,Sucre,Due on receipt,
#1006,,pending,,fulfilled,2021-11-09 15:53:30 -0500,no,COP,15000.00,0.00,2250.00,17250.00,"",0.00,"",2021-10-28 18:45:56 -0500,1,Camiseta basica blanca - XS,15000.00,,CAM-003,true,true,fulfilled,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,"",Morroa,705030,SUC,CO,"",,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4264134017192,"",Low,shopify_draft_order,0.00,VAT 15 %,2250.00,,,,,,,,,+573002461089,,,Sucre,Sucre,Due on receipt,
#1005,,pending,,fulfilled,2021-10-28 15:20:30 -0500,no,COP,15000.00,0.00,2250.00,17250.00,"",0.00,"",2021-10-28 15:18:51 -0500,1,Camiseta basica blanca - S,15000.00,,CAM-002,true,true,fulfilled,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,,Corozal,705030,SUC,CO,,jhon doe,"cra25A#35-56, Casa",cra25A#35-56,Casa,"",Morroa,705030,SUC,CO,"",,"",,Cash on Delivery (COD),"",0.00,rocketfyStore,4263846445224,"",Low,shopify_draft_order,0.00,VAT 15 %,2250.00,,,,,,,,,+573002461089,,,Sucre,Sucre,Due on receipt,
#1004,listerine1989@gmail.com,pending,,fulfilled,2021-11-09 15:53:29 -0500,no,COP,15000.00,0.00,2250.00,17250.00,"",0.00,"",2021-10-28 15:09:27 -0500,1,Camiseta basica blanca - XS,15000.00,,CAM-003,true,true,fulfilled,jhon  doe,"Cra26A #25-56, Casa",Cra26A #25-56,Casa,,Corozal,705030,SUC,CO,,jhon  doe,"Cra26A #25-56, Casa",Cra26A #25-56,Casa,"",Morroa,705030,SUC,CO,"","nota de prueba

","",,Cash on Delivery (COD),"",0.00,rocketfyStore,4263832125608,"",Low,shopify_draft_order,0.00,VAT 15 %,2250.00,,,,,,,,,,,,Sucre,Sucre,Due on receipt,
